schedule,scenario,n_trials,width_rel_decrease,width_rel_decrease_lo,width_rel_decrease_hi,pass_change_pp,pass_discordant
Bminus,F090,500,0.00657586093140201,0.00638932339677518,0.00676239846602883,1.2,6
D1,F090,500,-0.00308971245425825,-0.00325727404885731,-0.00292215085965919,-0.4,2
D2,F090,500,-0.00367624600062863,-0.00385196102695312,-0.00350053097430413,-0.600000000000001,3
D3,F090,500,0.000533043960755712,0.000228396820389897,0.000837691101121527,-0.600000000000001,7
D4,F090,500,-0.00321841621120986,-0.00338342123161482,-0.0030534111908049,-0.4,2
Bminus,KE110,500,0.00759846302110623,0.00741115291975314,0.00778577312245933,0.2,3
D1,KE110,500,-0.00294064481708911,-0.00311240544792627,-0.00276888418625194,-0.4,2
D2,KE110,500,-0.00364170918090165,-0.003823830755101,-0.0034595876067023,-0.4,2
D3,KE110,500,0.00142108618777148,0.00110919248919334,0.00173297988634962,-0.4,2
D4,KE110,500,-0.00310496715200355,-0.0032780261487441,-0.002931908155263,-0.4,2
Bminus,S00,500,0.00905012419752348,0.00884744475646825,0.00925280363857871,0.2,1
D1,S00,500,-0.00302364042945401,-0.00320242960143035,-0.00284485125747767,0.2,1
D2,S00,500,-0.0039091210938365,-0.00409975291038774,-0.00371848927728525,0.2,1
D3,S00,500,0.00187366982624306,0.00154964417502499,0.00219769547746113,0.2,1
D4,S00,500,-0.00322229062529297,-0.00340370487113836,-0.00304087637944759,0,0
Bminus,VM125,500,0.00414918962152131,0.00398413709736618,0.00431424214567643,2.4,12
D1,VM125,500,-0.00245612989338962,-0.00261247452205992,-0.00229978526471932,-1.6,8
D2,VM125,500,-0.00278677611383703,-0.002951299690221,-0.00262225253745306,-1.2,6
D3,VM125,500,-0.000462257690239121,-0.000743404007285898,-0.000181111373192345,-1,5
D4,VM125,500,-0.00250197590940859,-0.00265608613266638,-0.0023478656861508,-1.4,7
